source_root_id,target_root_id,source_node_id,target_node_id,source_title,target_title,text_similarity,co_citation_similarity,structural_similarity,combined_similarity
root_12,root_17,"BJERKE B, 2002, ENTREPRENEURIAL MARK","HANSEN DJ, 2010, J RES MARK ENTREP",Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,THE MARKETING/ENTREPRENEURSHIP INTERFACE: A REPORT ON THE “CHARLESTON SUMMIT”,0.123229,0.249029,0.873116,0.317237
root_06,root_11,"MATSUNO K, 2002, J MARKETING","READ S, 2009, J MARKETING",THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH,0.11783,0.244949,0.88841,0.316437
root_01,root_11,"MORRIS MH, 2002, J MARKET THEORY PRAC","READ S, 2009, J MARKETING",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH,0.095868,0.27938,0.871864,0.315297
root_05,root_14,"MILLER D, 1983, MANAGE SCI","KOHLI AK, 1990, J MARKETING",THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,"MARKET ORIENTATION: THE CONSTRUCT, RESEARCH PROPOSITIONS, AND MANAGERIAL IMPLICATIONS",0.027943,0.339683,0.909363,0.313336
root_02,root_07,"COLLINSON E, 2001, MANAGEMENT DECISION","LUMPKIN GT, 1996, ACAD MANAGE REV",ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,0.028794,0.302388,0.968546,0.312502
root_09,root_12,"SARASVATHY SD, 2001, ACAD MANAGE REV","BJERKE B, 2002, ENTREPRENEURIAL MARK",CAUSATION AND EFFECTUATION: TOWARD A THEORETICAL SHIFT FROM ECONOMIC INEVITABILITY TO ENTREPRENEURIAL CONTINGENCY,Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,0.107932,0.215666,0.930978,0.310248
root_08,root_13,"BARNEY J, 1991, J MANAGE","NARVER JC, 1990, J MARKETING",FIRM RESOURCES AND SUSTAINED COMPETITIVE ADVANTAGE,THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,0.013847,0.339623,0.924862,0.310071
root_03,root_12,"STOKES D, 2000, J RES MARKETING ENTR","BJERKE B, 2002, ENTREPRENEURIAL MARK",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,0.129091,0.193978,0.911506,0.308285
root_04,root_05,"SHANE S, 2000, ACAD MANAGE REV","MILLER D, 1983, MANAGE SCI",THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,0.054826,0.235339,0.996154,0.306271
root_03,root_09,"STOKES D, 2000, J RES MARKETING ENTR","SARASVATHY SD, 2001, ACAD MANAGE REV",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,CAUSATION AND EFFECTUATION: TOWARD A THEORETICAL SHIFT FROM ECONOMIC INEVITABILITY TO ENTREPRENEURIAL CONTINGENCY,0.025101,0.314803,0.921751,0.305827
root_14,root_15,"KOHLI AK, 1990, J MARKETING","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP","MARKET ORIENTATION: THE CONSTRUCT, RESEARCH PROPOSITIONS, AND MANAGERIAL IMPLICATIONS",ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,0.06454,0.300557,0.853442,0.304926
root_05,root_12,"MILLER D, 1983, MANAGE SCI","BJERKE B, 2002, ENTREPRENEURIAL MARK",THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,0.082162,0.239259,0.917811,0.304276
root_05,root_08,"MILLER D, 1983, MANAGE SCI","BARNEY J, 1991, J MANAGE",THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,FIRM RESOURCES AND SUSTAINED COMPETITIVE ADVANTAGE,0.02377,0.269386,0.992344,0.303451
root_03,root_04,"STOKES D, 2000, J RES MARKETING ENTR","SHANE S, 2000, ACAD MANAGE REV",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,0.037764,0.254399,0.984855,0.303005
root_14,root_17,"KOHLI AK, 1990, J MARKETING","HANSEN DJ, 2010, J RES MARK ENTREP","MARKET ORIENTATION: THE CONSTRUCT, RESEARCH PROPOSITIONS, AND MANAGERIAL IMPLICATIONS",THE MARKETING/ENTREPRENEURSHIP INTERFACE: A REPORT ON THE “CHARLESTON SUMMIT”,0.062895,0.274986,0.879898,0.300528
