Source,Target,Type,Weight,text_similarity,co_citation_similarity,structural_similarity,combined_similarity
"SARASVATHY SD, 2001, ACAD MANAGE REV","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",Undirected,0.257289,0.062649,0.17669,0.836276,0.257289
"SARASVATHY SD, 2001, ACAD MANAGE REV","GILMORE A, 2011, J RES MARK ENTREP",Undirected,0.257084,0.021285,0.2,0.887529,0.257084
"NARVER JC, 1990, J MARKETING","HANSEN DJ, 2010, J RES MARK ENTREP",Undirected,0.256777,0.063177,0.168232,0.847333,0.256777
"BARNEY J, 1991, J MANAGE","SARASVATHY SD, 2001, ACAD MANAGE REV",Undirected,0.2567,0.008401,0.194257,0.924651,0.2567
"COLLINSON E, 2001, MANAGEMENT DECISION","KOHLI AK, 1990, J MARKETING",Undirected,0.255362,0.028606,0.188982,0.881725,0.255362
"CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH","HANSEN DJ, 2010, J RES MARK ENTREP",Undirected,0.254465,0.102603,0.120096,0.831298,0.254465
"LUMPKIN GT, 1996, ACAD MANAGE REV","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",Undirected,0.254254,0.039005,0.227803,0.784852,0.254254
"BARNEY J, 1991, J MANAGE","HANSEN DJ, 2010, J RES MARK ENTREP",Undirected,0.251673,0.02891,0.224309,0.800777,0.251673
"BARNEY J, 1991, J MANAGE","KOHLI AK, 1990, J MARKETING",Undirected,0.250465,0.032474,0.15861,0.901691,0.250465
"CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH","NARVER JC, 1990, J MARKETING",Undirected,0.250451,0.014047,0.161632,0.937793,0.250451
"BARNEY J, 1991, J MANAGE","GILMORE A, 2011, J RES MARK ENTREP",Undirected,0.249504,0.018121,0.218539,0.824302,0.249504
"READ S, 2009, J MARKETING","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",Undirected,0.249458,0.10184,0.093704,0.85417,0.249458
"CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH","READ S, 2009, J MARKETING",Undirected,0.248537,0.090506,0.078446,0.901768,0.248537
"MATSUNO K, 2002, J MARKETING","CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH",Undirected,0.247055,0.0,0.160128,0.955053,0.247055
"MILLER D, 1983, MANAGE SCI","READ S, 2009, J MARKETING",Undirected,0.246419,0.06239,0.11767,0.885796,0.246419
"LUMPKIN GT, 1996, ACAD MANAGE REV","HANSEN DJ, 2010, J RES MARK ENTREP",Undirected,0.244899,0.026891,0.208422,0.799253,0.244899
"MILLER D, 1983, MANAGE SCI","SARASVATHY SD, 2001, ACAD MANAGE REV",Undirected,0.243884,0.0,0.16641,0.9282,0.243884
"MILLER D, 1983, MANAGE SCI","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",Undirected,0.242801,0.045796,0.183769,0.789367,0.242801
"MATSUNO K, 2002, J MARKETING","BJERKE B, 2002, ENTREPRENEURIAL MARK",Undirected,0.242407,0.034703,0.124515,0.916051,0.242407
"COLLINSON E, 2001, MANAGEMENT DECISION","HANSEN DJ, 2010, J RES MARK ENTREP",Undirected,0.241064,0.083743,0.133631,0.783045,0.241064
"LUMPKIN GT, 1996, ACAD MANAGE REV","CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH",Undirected,0.238645,0.018473,0.114426,0.951415,0.238645
"SARASVATHY SD, 2001, ACAD MANAGE REV","KOHLI AK, 1990, J MARKETING",Undirected,0.237779,0.0,0.163299,0.903121,0.237779
"SARASVATHY SD, 2001, ACAD MANAGE REV","CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH",Undirected,0.234296,0.0,0.138675,0.9288,0.234296
"MATSUNO K, 2002, J MARKETING","HANSEN DJ, 2010, J RES MARK ENTREP",Undirected,0.229402,0.055978,0.125,0.80231,0.229402
"MATSUNO K, 2002, J MARKETING","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",Undirected,0.228255,0.082692,0.095637,0.787853,0.228255
"SARASVATHY SD, 2001, ACAD MANAGE REV","NARVER JC, 1990, J MARKETING",Undirected,0.22762,0.0,0.13598,0.900136,0.22762
"MATSUNO K, 2002, J MARKETING","GILMORE A, 2011, J RES MARK ENTREP",Undirected,0.222038,0.042164,0.108253,0.825879,0.222038
"BARNEY J, 1991, J MANAGE","READ S, 2009, J MARKETING",Undirected,0.217764,0.006269,0.109888,0.882408,0.217764
"LUMPKIN GT, 1996, ACAD MANAGE REV","READ S, 2009, J MARKETING",Undirected,0.215853,0.020168,0.087519,0.880729,0.215853
"BARNEY J, 1991, J MANAGE","CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH",Undirected,0.204046,0.008825,0.026939,0.953229,0.204046
"MILLER D, 1983, MANAGE SCI","GILMORE A, 2011, J RES MARK ENTREP",Undirected,0.193406,0.035064,0.034669,0.827466,0.193406
