SR,year,title,journal,source_title,doi,baseline_ToS,in_current_graph,cited_by,internal_indegree,years_since_publication,external_citation_velocity,external_citation_score,internal_citation_score,external_attention_gap_raw,external_attention_gap_score,field_distance,direct_field_neighbor_count,network_proximity_score,text_relevance_raw,text_relevance_score,fruit_score,fruit_signal_type
"POLAS MOHAMMAD RASHED HASAN, 2021, GLOB J FLEX SYST MANAG",2021.0,TECHNOLOGY AND ENTREPRENEURIAL MARKETING DECISIONS DURING COVID-19,GLOBAL JOURNAL OF FLEXIBLE SYSTEMS MANAGEMENT,GLOB J FLEX SYST MANAG,10.1007/S40171-021-00262-0,,True,0.0,3.0,6.0,0.0,0.0,0.5,0.0,0.0,2.0,0,0.21666666666666667,0.1559454402225164,0.24064698690756361,0.06739803202408971,recent_no_external_signal
"NGUYEN TK, 2021, J STRATEG MARK",2021.0,POTENTIAL ABSORPTIVE CAPACITY AND PERFORMANCE OF VIETNAMESE CONTRACT MANUFACTURING EXPORTERS: MEDIATING FACTORS IN ENTREPRENEURIAL MARKETING BEHAVIOUR,JOURNAL OF STRATEGIC MARKETING,J STRATEG MARK,10.1080/0965254X.2019.1619090,,False,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.335011829670216,0.6398462992142461,0.06398462992142462,recent_no_external_signal
"SUN Y, 2022, INT J ENTREP BEHAV R",2022.0,ENTREPRENEURIAL MARKETING OF SMALL AND MEDIUM-SIZED SUPPLIERS ENHANCING TECHNOLOGICAL CAPABILITY: LESSONS FROM INDUSTRIAL SUPPLIERS IN SOUTH KOREA,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOUR & RESEARCH,INT J ENTREP BEHAV R,10.1108/IJEBR-01-2022-0026,,True,0.0,7.0,5.0,0.0,0.0,0.75,0.0,0.0,2.0,0,0.21666666666666667,0.10949986852118786,0.13710415935601797,0.05704374926893514,recent_no_external_signal
"EGGERS F, 2025, J RES MARK ENTREP",2025.0,"ENTREPRENEURIAL MARKETING, TECHNOLOGY, AND TRANSFORMATIVE CHANGE: EDITORIAL AND INTRODUCTION TO THE SPECIAL ISSUE",JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,10.1108/JRME-03-2025-216,leaf,True,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.21666666666666667,0.08549582450203272,0.08359105790475527,0.05169243912380887,recent_no_external_signal
"MANIGANDAN R, 2025",2025.0,THE IMPACT OF ENTREPRENEURIAL MARKETING ON SME PERFORMANCE: EXPLORING THE MEDIATING ROLE OF GREEN INNOVATION AND MODERATING ROLE OF NETWORKING CAPABILITY IN INDIAN SMES USING IPMA ANALYSIS,INTERNATIONAL JOURNAL OF ENTERPRISE NETWORK MANAGEMENT,,10.1504/IJENM.2025.149558,,False,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.26113936973197255,0.47515969724105495,0.0475159697241055,recent_no_external_signal
"PRAMONO R, 2025",2025.0,ENTREPRENEURIAL MARKETING AND BUSINESS PERFORMANCE IN SYSTEM INTEGRATOR START-UPS: A SERIAL MEDIATION ANALYSIS THROUGH TECHNOLOGY CUSTOMIZATION AND INNOVATION CAPABILITY,INTERNATIONAL JOURNAL OF ACCOUNTING AND ECONOMICS STUDIES,,10.14419/VSFS3065,,False,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.2601449468724298,0.47294279365073905,0.04729427936507392,recent_no_external_signal
"NURBASARI A, 2026",2026.0,DIGITAL ENTREPRENEURIAL MARKETING AND INDUSTRIAL TRANSFORMATION: EVIDENCE FROM FOOD AND BEVERAGE SMALL AND MEDIUM INDUSTRIES IN INDONESIA TOWARD SUSTAINABLE DEVELOPMENT GOALS (SDGS),INDONESIAN JOURNAL OF SCIENCE AND TECHNOLOGY,,10.17509/IJOST.V11I2.89774,,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.22879426004889952,0.40305155019128014,0.04030515501912802,recent_no_external_signal
"MUTANHO D, 2024, J GLOBAL BUS TECHNOL",2024.0,"IMPACT OF ENTREPRENEURIAL MARKETING ON OVERALL SME PERFORMANCE IN MANICALAND PROVINCE, ZIMBABWE",JOURNAL OF GLOBAL BUSINESS AND TECHNOLOGY,J GLOBAL BUS TECHNOL,,,False,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.2235657917278808,0.39139553275213046,0.039139553275213054,recent_no_external_signal
"SAM T, 2025",2025.0,"ENTREPRENEURIAL MARKETING AND CUSTOMER VALUE CREATION: THE MEDIATING ROLES OF TECHNOLOGY, CUSTOMIZATION, AND CUSTOMER ORIENTATION UNDER VARYING CUSTOMER COMPLEXITY",INTERNATIONAL JOURNAL OF ACCOUNTING AND ECONOMICS STUDIES,,10.14419/NT6ZK218,,False,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.20840220989808528,0.35759080000897947,0.035759080000897954,recent_no_external_signal
"RAOUF R, 2025, JORDAN J BUS ADM",2025.0,ENTREPRENEURIAL MARKETING AND FIRM PERFORMANCE: THE MODERATING ROLE OF ENVIRONMENTAL TURBULENCE: AN APPLIED STUDY ON INDUSTRIAL COMPANIES IN KURDISTAN REGION OF IRAQ; [   :      :             ],JORDAN JOURNAL OF BUSINESS ADMINISTRATION,JORDAN J BUS ADM,10.35516/JJBA.V21I2.267,,False,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.19438134232378743,0.3263335623393858,0.032633356233938586,recent_no_external_signal
"SIREGAR MY, 2024, UNCERTAIN SUPPLY CHAIN MANAGEMENT",2024.0,"INCREASING THE COMPETITIVE ADVANTAGE AND THE PERFORMANCE OF SMES USING ENTREPRENEURIAL MARKETING ARCHITECTURAL INNOVATION CAPABILITY IN NORTH SUMATERA, INDONESIA",UNCERTAIN SUPPLY CHAIN MANAGEMENT,UNCERTAIN SUPPLY CHAIN MANAGEMENT,10.5267/J.USCM.2023.12.011,,False,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.18647011543352107,0.3086967721866538,0.030869677218665386,recent_no_external_signal
"WAHDINIWATY R, 2025",2025.0,ENTREPRENEURIAL TECHNOLOGY RESILIENCE MEDIATES ENTREPRENEURIAL MARKETING ON BUSINESS PERFORMANCE IN BATIK MSMES,APTISI TRANSACTIONS ON TECHNOPRENEURSHIP,,10.34306/ATT.V7I3.469,,False,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.17983523178415933,0.29390538113761694,0.0293905381137617,recent_no_external_signal
"MUGONI E, 2023, SUSTAINABLE TECHNOLOGY AND ENTREPRENEURSHIP",2023.0,GREEN REVERSE LOGISTICS TECHNOLOGY IMPACT ON AGRICULTURAL ENTREPRENEURIAL MARKETING FIRMS’ OPERATIONAL EFFICIENCY AND SUSTAINABLE COMPETITIVE ADVANTAGE.,SUSTAINABLE TECHNOLOGY AND ENTREPRENEURSHIP,SUSTAINABLE TECHNOLOGY AND ENTREPRENEURSHIP,10.1016/J.STAE.2022.100034,,False,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.16357583890325353,0.25765771636590085,0.02576577163659009,recent_no_external_signal
"ABBAS A, 2026, J  SMALL BUS  ENTREP",2026.0,UNVEILING ENTREPRENEURIAL MARKETING: A BIBLIOMETRIC JOURNEY FROM INCEPTION,JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP,J  SMALL BUS  ENTREP,10.1080/08276331.2025.2605372,,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.13273899507721137,0.18891200206947215,0.018891200206947217,recent_no_external_signal
"SAKI EG, 2023, INT J ENTREP INNOV",2023.0,A QUALITATIVE INVESTIGATION OF ENTREPRENEURIAL MARKETING DIMENSIONS AND THEIR EFFECT ON BRAND IMAGE ON THE INSTAGRAM PLATFORM,THE INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP AND INNOVATION,INT J ENTREP INNOV,10.1177/14657503231202664,,False,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.1179767082643312,0.15600189112150453,0.015600189112150456,recent_no_external_signal
"(57257190000) Y, 2021",2021.0,CO-CREATION THROUGH ENTREPRENEURIAL MARKETING: A STUDY AT THE CREATIVE INDUSTRIES,ACADEMY OF ENTREPRENEURSHIP JOURNAL,,,,False,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.11333727077062693,0.14565902185000723,0.014565902185000725,recent_no_external_signal
"ALHOULI A, 2025, RUTG BUSI REV",2025.0,LEVERAGING SOCIAL MEDIA FOR ENTREPRENEURIAL MARKETING IN FASHION AND BEAUTY: PRACTICAL INSIGHTS ON SELF-PRESENTATION AND INFLUENCER COLLABORATION,RUTGERS BUSINESS REVIEW,RUTG BUSI REV,,,False,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.11129978430480993,0.1411167780570933,0.014111677805709332,recent_no_external_signal
